home_type,days_posted,home_URL,home_main_image,home_status,home_price,home_address,home_zipcode,num_beds,num_baths,home_area
SINGLE_FAMILY,7,https://www.zillow.com/homedetails/11543-Addison-St-Valley-Village-CA-91601/20018796_zpid/,https://photos.zillowstatic.com/fp/c3ae817342f171e87e229c386c595431-p_e.jpg,FOR_SALE,"$2,995,000","11543 Addison St, Valley Village, CA 91601",91601,4,4,2742
SINGLE_FAMILY,3,https://www.zillow.com/homedetails/7715-W-80th-St-Playa-Del-Rey-CA-90293/20384878_zpid/,https://photos.zillowstatic.com/fp/ca71f4c6a742cfac99e7baf5701ec292-p_e.jpg,FOR_SALE,"$1,899,000","7715 W 80th St, Playa Del Rey, CA 90293",90293,3,3,2253
SINGLE_FAMILY,4,https://www.zillow.com/homedetails/17513-Kingsbury-St-Granada-Hills-CA-91344/20168849_zpid/,https://photos.zillowstatic.com/fp/a01d1425485672034bb682f35610e891-p_e.jpg,FOR_SALE,"$875,000","17513 Kingsbury St, Granada Hills, CA 91344",91344,3,3,1250
SINGLE_FAMILY,4,https://www.zillow.com/homedetails/8037-Dunfield-Ave-Los-Angeles-CA-90045/20381823_zpid/,https://photos.zillowstatic.com/fp/93e6ec2c3d5c4a59b9e242b7f319f1f5-p_e.jpg,FOR_SALE,"$2,100,000","8037 Dunfield Ave, Los Angeles, CA 90045",90045,3,3,2451
SINGLE_FAMILY,4,https://www.zillow.com/homedetails/440-Del-Norte-St-Los-Angeles-CA-90065/20755621_zpid/,https://photos.zillowstatic.com/fp/8add81fb01c0532b446584c058195d10-p_e.jpg,FOR_SALE,"$1,450,000","440 Del Norte St, Los Angeles, CA 90065",90065,3,3,1348
SINGLE_FAMILY,11,https://www.zillow.com/homedetails/20580-Natoma-Estates-Dr-Woodland-Hills-CA-91364/65240532_zpid/,https://photos.zillowstatic.com/fp/d1c961ed222f0ca2fd1cd43099797e41-p_e.jpg,FOR_SALE,"$12,995,000","20580 Natoma Estates Dr, Woodland Hills, CA 91364",91364,5,5,6830
CONDO,38,https://www.zillow.com/homedetails/5420-Sylmar-Ave-APT-202-Sherman-Oaks-CA-91401/19973078_zpid/,https://photos.zillowstatic.com/fp/4ed342481851069d2387aeada3b56355-p_e.jpg,FOR_SALE,"$699,000","5420 Sylmar Ave APT 202, Sherman Oaks, CA 91401",91401,2,2,1172
SINGLE_FAMILY,5,https://www.zillow.com/homedetails/2125-Kew-Dr-Los-Angeles-CA-90046/20801602_zpid/,https://photos.zillowstatic.com/fp/79f7fb4c048af13a79f6127e368b046d-p_e.jpg,FOR_SALE,"$2,749,000","2125 Kew Dr, Los Angeles, CA 90046",90046,3,3,3429
SINGLE_FAMILY,130,https://www.zillow.com/homedetails/5924-Topeka-Dr-Tarzana-CA-91356/19933420_zpid/,https://photos.zillowstatic.com/fp/ce35bf13176bf305db492b3a8829ab39-p_e.jpg,FOR_SALE,"$3,450,000","5924 Topeka Dr, Tarzana, CA 91356",91356,6,6,5161
CONDO,10,https://www.zillow.com/homedetails/4237-N-Longridge-Ave-403-Studio-City-CA-91604/89146459_zpid/,https://photos.zillowstatic.com/fp/f297f58ae8b06076628eede94c0a0f6a-p_e.jpg,FOR_SALE,"$985,000","4237 N Longridge Ave #403, Studio City, CA 91604",91604,3,3,1520
SINGLE_FAMILY,4,https://www.zillow.com/homedetails/17642-Lemay-St-Lake-Balboa-CA-91406/19965819_zpid/,https://photos.zillowstatic.com/fp/9cfc68ff8fb7f3284023e938520b3dbf-p_e.jpg,FOR_SALE,"$1,149,999","17642 Lemay St, Lake Balboa, CA 91406",91406,4,4,1757
TOWNHOUSE,5,https://www.zillow.com/homedetails/14200-Foothill-Blvd-UNIT-15-Sylmar-CA-91342/20069477_zpid/,https://photos.zillowstatic.com/fp/e6b885af7f856d9708053dfb4c10ffbe-p_e.jpg,FOR_SALE,"$524,800","14200 Foothill Blvd UNIT 15, Sylmar, CA 91342",91342,3,3,1126
SINGLE_FAMILY,6,https://www.zillow.com/homedetails/4450-Colbath-Ave-Sherman-Oaks-CA-91423/19986580_zpid/,https://photos.zillowstatic.com/fp/75a239294bb5cf5b9fe30261bbb7f8ea-p_e.jpg,FOR_SALE,"$1,595,000","4450 Colbath Ave, Sherman Oaks, CA 91423",91423,4,4,1920
SINGLE_FAMILY,3,https://www.zillow.com/homedetails/607-N-Alta-Vista-Blvd-Los-Angeles-CA-90036/20784378_zpid/,https://photos.zillowstatic.com/fp/1f43174a0a1efcec6aa3e6e9c234c2a0-p_e.jpg,FOR_SALE,"$4,495,000","607 N Alta Vista Blvd, Los Angeles, CA 90036",90036,5,5,4160
SINGLE_FAMILY,110,https://www.zillow.com/homedetails/1261-Angelo-Dr-Beverly-Hills-CA-90210/95547747_zpid/,https://photos.zillowstatic.com/fp/6156ec1b0682986522be5230fb575a51-p_e.jpg,FOR_SALE,"$195,000,000","1261 Angelo Dr, Beverly Hills, CA 90210",90210,16,16,50000
